id_venta,fecha,id_tienda,producto,categoria,precio_unitario,cantidad,descuento_pct,canal_venta,calificacion_cliente,nombre_tienda,region,total_venta
39,2025-02-24,103,Teclado,Accesorios,85811.0,4,0.05,Online,4,Cali Norte,Pacífico,326080.0
40,2025-03-05,104,Audífonos,Accesorios,113275.0,1,0.0,Tienda física,2,Barranquilla Mall,Caribe,113275.0
41,2025-01-03,103,Audífonos,Accesorios,111156.0,1,0.0,Online,2,Cali Norte,Pacífico,111156.0
42,2025-02-20,103,Audífonos,Accesorios,128571.0,2,0.0,Tienda física,5,Cali Norte,Pacífico,257142.0
43,2025-01-07,103,Audífonos,Accesorios,121809.0,1,0.0,Tienda física,5,Cali Norte,Pacífico,121809.0
44,2025-01-21,101,Laptop,Cómputo,2562776.0,1,0.0,Tienda física,3,Bogotá Centro,Andina,2562776.0
45,2025-03-14,104,Laptop,Cómputo,2734245.0,1,0.0,Tienda física,4,Barranquilla Mall,Caribe,2734245.0
46,2025-02-08,102,Teclado,Accesorios,87619.0,1,0.0,Tienda física,4,Medellín Poblado,Andina,87619.0
47,2025-01-18,101,Mouse,Accesorios,42136.0,1,0.05,Online,5,Bogotá Centro,Andina,40029.0
48,2025-01-04,103,Teclado,Accesorios,88839.0,3,0.2,Tienda física,2,Cali Norte,Pacífico,213214.0
49,2025-03-30,101,Mouse,Accesorios,43489.0,1,0.1,Online,3,Bogotá Centro,Andina,39140.0
50,2025-03-01,103,Teclado,Accesorios,87152.0,3,0.0,Tienda física,5,Cali Norte,Pacífico,261457.0
51,2025-01-14,103,Monitor,Cómputo,681073.0,2,0.1,Tienda física,1,Cali Norte,Pacífico,1225932.0
52,2025-01-09,101,Monitor,Cómputo,614024.0,3,0.0,Tienda física,3,Bogotá Centro,Andina,1842073.0
53,2025-03-31,104,Teclado,Accesorios,92553.0,2,0.0,Tienda física,5,Barranquilla Mall,Caribe,185107.0
54,2025-02-22,103,Audífonos,Accesorios,121696.0,2,0.0,Tienda física,4,Cali Norte,Pacífico,243391.0
55,2025-01-02,104,Mouse,Accesorios,45613.0,1,0.1,Tienda física,4,Barranquilla Mall,Caribe,41052.0
56,2025-03-25,102,Audífonos,Accesorios,123912.0,1,0.0,Tienda física,2,Medellín Poblado,Andina,123912.0
57,2025-03-01,103,Laptop,Cómputo,2827094.0,1,0.05,Tienda física,1,Cali Norte,Pacífico,2685739.0
58,2025-03-12,104,Audífonos,Accesorios,129102.0,3,0.0,Online,3,Barranquilla Mall,Caribe,387306.0
59,2025-02-13,104,Monitor,Cómputo,672825.0,3,0.0,Tienda física,5,Barranquilla Mall,Caribe,2018476.0
60,2025-01-08,102,Mouse,Accesorios,45423.0,1,0.0,Tienda física,4,Medellín Poblado,Andina,45423.0
61,2025-02-16,104,Mouse,Accesorios,47968.0,1,0.1,Tienda física,5,Barranquilla Mall,Caribe,43171.0
62,2025-02-04,104,Teclado,Accesorios,91911.0,1,0.2,Online,5,Barranquilla Mall,Caribe,73529.0
63,2025-03-19,102,Mouse,Accesorios,43120.0,2,0.0,Online,4,Medellín Poblado,Andina,86241.0
64,2025-03-22,103,Mouse,Accesorios,42364.0,1,0.2,Tienda física,3,Cali Norte,Pacífico,33891.0
65,2025-02-05,104,Teclado,Accesorios,83742.0,2,0.2,Tienda física,4,Barranquilla Mall,Caribe,133987.0
66,2025-02-19,104,Teclado,Accesorios,97190.0,4,0.1,Tienda física,5,Barranquilla Mall,Caribe,349885.0
67,2025-01-04,104,Monitor,Cómputo,677318.0,1,0.2,Online,5,Barranquilla Mall,Caribe,541854.0
68,2025-01-02,101,Audífonos,Accesorios,130497.0,1,0.05,Online,2,Bogotá Centro,Andina,123972.0
69,2025-01-06,102,Teclado,Accesorios,91859.0,1,0.1,Tienda física,5,Medellín Poblado,Andina,82673.0
70,2025-02-23,101,Teclado,Accesorios,89521.0,1,0.0,Tienda física,4,Bogotá Centro,Andina,89521.0
71,2025-01-04,102,Laptop,Cómputo,2553441.0,1,0.05,Tienda física,5,Medellín Poblado,Andina,2425769.0
72,2025-02-23,103,Monitor,Cómputo,672313.0,1,0.0,Online,3,Cali Norte,Pacífico,672313.0
73,2025-03-04,103,Mouse,Accesorios,45740.0,3,0.0,Tienda física,4,Cali Norte,Pacífico,137220.0
74,2025-01-18,104,Audífonos,Accesorios,131765.0,1,0.0,Tienda física,5,Barranquilla Mall,Caribe,131765.0
75,2025-03-31,102,Audífonos,Accesorios,113740.0,1,0.0,Tienda física,4,Medellín Poblado,Andina,113740.0
76,2025-02-13,103,Teclado,Accesorios,90553.0,3,0.0,Online,4,Cali Norte,Pacífico,271660.0
77,2025-02-03,102,Laptop,Cómputo,2884536.0,2,0.05,Online,2,Medellín Poblado,Andina,5480619.0
78,2025-03-15,103,Audífonos,Accesorios,123470.0,1,0.0,Online,4,Cali Norte,Pacífico,123470.0
79,2025-03-03,101,Monitor,Cómputo,657968.0,2,0.1,Tienda física,4,Bogotá Centro,Andina,1184343.0
80,2025-01-14,103,Mouse,Accesorios,47492.0,1,0.0,Online,5,Cali Norte,Pacífico,47492.0
81,2025-02-17,101,Mouse,Accesorios,42345.0,2,0.05,Tienda física,4,Bogotá Centro,Andina,80455.0
82,2025-01-15,103,Monitor,Cómputo,679332.0,2,0.0,Tienda física,4,Cali Norte,Pacífico,1358663.0
83,2025-03-13,104,Mouse,Accesorios,46078.0,2,0.0,Tienda física,5,Barranquilla Mall,Caribe,92155.0
84,2025-03-19,101,Audífonos,Accesorios,129506.0,1,0.0,Online,3,Bogotá Centro,Andina,129506.0
85,2025-03-28,103,Mouse,Accesorios,48125.0,3,0.1,Tienda física,4,Cali Norte,Pacífico,129937.0
86,2025-03-03,104,Laptop,Cómputo,2696482.0,1,0.2,Online,5,Barranquilla Mall,Caribe,2157186.0
87,2025-02-09,101,Audífonos,Accesorios,114630.0,1,0.0,Online,5,Bogotá Centro,Andina,114630.0
88,2025-03-26,104,Mouse,Accesorios,49335.0,1,0.0,Tienda física,4,Barranquilla Mall,Caribe,49335.0
89,2025-03-21,102,Teclado,Accesorios,90491.0,1,0.0,Tienda física,5,Medellín Poblado,Andina,90491.0
90,2025-03-23,102,Laptop,Cómputo,3027596.0,1,0.2,Tienda física,3,Medellín Poblado,Andina,2422077.0
91,2025-02-22,101,Laptop,Cómputo,2611773.0,3,0.0,Tienda física,5,Bogotá Centro,Andina,7835320.0
92,2025-01-24,103,Teclado,Accesorios,92571.0,4,0.05,Tienda física,3,Cali Norte,Pacífico,351769.0
93,2025-01-26,101,Teclado,Accesorios,95577.0,1,0.0,Tienda física,5,Bogotá Centro,Andina,95577.0
94,2025-03-30,104,Teclado,Accesorios,98053.0,1,0.1,Online,4,Barranquilla Mall,Caribe,88248.0
95,2025-03-01,103,Monitor,Cómputo,628854.0,1,0.0,Online,5,Cali Norte,Pacífico,628854.0
96,2025-02-10,102,Teclado,Accesorios,94050.0,1,0.0,Tienda física,5,Medellín Poblado,Andina,94050.0
97,2025-01-29,103,Mouse,Accesorios,45349.0,1,0.0,Tienda física,5,Cali Norte,Pacífico,45349.0
98,2025-01-15,102,Mouse,Accesorios,41046.0,3,0.1,Tienda física,3,Medellín Poblado,Andina,110823.0
99,2025-02-14,103,Audífonos,Accesorios,124560.0,1,0.0,Online,4,Cali Norte,Pacífico,124560.0
100,2025-03-06,103,Monitor,Cómputo,674713.0,1,0.2,Online,4,Cali Norte,Pacífico,539770.0
101,2025-03-30,103,Teclado,Accesorios,97751.0,1,0.2,Tienda física,5,Cali Norte,Pacífico,78201.0
102,2025-03-12,104,Mouse,Accesorios,44976.0,3,0.1,Tienda física,3,Barranquilla Mall,Caribe,121435.0
103,2025-01-09,104,Mouse,Accesorios,42572.0,2,0.0,Online,5,Barranquilla Mall,Caribe,85145.0
104,2025-03-29,101,Monitor,Cómputo,590793.0,4,0.1,Tienda física,5,Bogotá Centro,Andina,2126856.0
105,2025-01-01,101,Audífonos,Accesorios,117975.0,2,0.0,Tienda física,4,Bogotá Centro,Andina,235951.0
106,2025-01-08,102,Monitor,Cómputo,624249.0,1,0.0,Tienda física,5,Medellín Poblado,Andina,624249.0
107,2025-03-29,104,Audífonos,Accesorios,126266.0,1,0.0,Tienda física,4,Barranquilla Mall,Caribe,126266.0
108,2025-03-04,102,Monitor,Cómputo,631055.0,2,0.0,Tienda física,4,Medellín Poblado,Andina,1262110.0
109,2025-01-11,101,Laptop,Cómputo,3051480.0,1,0.0,Online,4,Bogotá Centro,Andina,3051480.0
110,2025-03-22,102,Mouse,Accesorios,49161.0,2,0.05,Online,4,Medellín Poblado,Andina,93406.0
111,2025-01-08,101,Mouse,Accesorios,46088.0,1,0.0,Tienda física,5,Bogotá Centro,Andina,46088.0
112,2025-02-04,104,Mouse,Accesorios,48858.0,1,0.0,Online,4,Barranquilla Mall,Caribe,48858.0
113,2025-02-04,103,Audífonos,Accesorios,126261.0,1,0.05,Tienda física,4,Cali Norte,Pacífico,119947.0
114,2025-02-02,104,Teclado,Accesorios,90843.0,2,0.05,Online,5,Barranquilla Mall,Caribe,172603.0
115,2025-01-05,102,Teclado,Accesorios,84246.0,2,0.0,Tienda física,5,Medellín Poblado,Andina,168491.0
116,2025-02-10,102,Mouse,Accesorios,44627.0,1,0.1,Online,2,Medellín Poblado,Andina,40165.0
117,2025-01-28,104,Mouse,Accesorios,45548.0,1,0.1,Online,5,Barranquilla Mall,Caribe,40993.0
118,2025-01-07,104,Mouse,Accesorios,48276.0,1,0.2,Tienda física,4,Barranquilla Mall,Caribe,38621.0
119,2025-03-14,101,Mouse,Accesorios,44832.0,1,0.05,Online,4,Bogotá Centro,Andina,42590.0
120,2025-03-13,102,Teclado,Accesorios,97158.0,1,0.0,Online,3,Medellín Poblado,Andina,97158.0
121,2025-01-12,102,Mouse,Accesorios,46569.0,1,0.1,Online,4,Medellín Poblado,Andina,41912.0
122,2025-02-03,104,Teclado,Accesorios,83466.0,1,0.0,Tienda física,5,Barranquilla Mall,Caribe,83466.0
123,2025-02-02,103,Laptop,Cómputo,3077190.0,1,0.0,Online,4,Cali Norte,Pacífico,3077190.0
124,2025-02-17,102,Laptop,Cómputo,2815250.0,1,0.05,Online,5,Medellín Poblado,Andina,2674488.0
125,2025-01-23,103,Mouse,Accesorios,44027.0,1,0.2,Tienda física,2,Cali Norte,Pacífico,35221.0
126,2025-03-03,104,Teclado,Accesorios,92864.0,1,0.05,Online,4,Barranquilla Mall,Caribe,88221.0
127,2025-03-29,104,Monitor,Cómputo,599156.0,1,0.0,Tienda física,5,Barranquilla Mall,Caribe,599156.0
128,2025-02-06,101,Mouse,Accesorios,46229.0,1,0.1,Tienda física,5,Bogotá Centro,Andina,41606.0
129,2025-02-13,102,Mouse,Accesorios,44984.0,2,0.1,Tienda física,3,Medellín Poblado,Andina,80971.0
130,2025-03-27,103,Monitor,Cómputo,637868.0,1,0.1,Tienda física,4,Cali Norte,Pacífico,574081.0
131,2025-02-04,101,Laptop,Cómputo,3053691.0,1,0.0,Tienda física,3,Bogotá Centro,Andina,3053691.0
132,2025-03-06,102,Mouse,Accesorios,45203.0,1,0.0,Tienda física,4,Medellín Poblado,Andina,45203.0
133,2025-02-16,101,Audífonos,Accesorios,113259.0,2,0.05,Online,5,Bogotá Centro,Andina,215192.0
134,2025-03-19,104,Teclado,Accesorios,89261.0,3,0.1,Tienda física,5,Barranquilla Mall,Caribe,241006.0
135,2025-01-03,102,Mouse,Accesorios,48774.0,2,0.0,Tienda física,3,Medellín Poblado,Andina,97549.0
136,2025-01-01,101,Audífonos,Accesorios,112226.0,2,0.1,Tienda física,5,Bogotá Centro,Andina,202007.0
137,2025-01-05,101,Monitor,Cómputo,612814.0,1,0.2,Tienda física,4,Bogotá Centro,Andina,490252.0
138,2025-03-31,103,Mouse,Accesorios,40617.0,2,0.0,Online,4,Cali Norte,Pacífico,81235.0
139,2025-01-14,101,Teclado,Accesorios,81255.0,2,0.0,Online,4,Bogotá Centro,Andina,162511.0
140,2025-01-27,102,Teclado,Accesorios,95929.0,1,0.05,Online,4,Medellín Poblado,Andina,91133.0
141,2025-01-09,102,Mouse,Accesorios,47089.0,1,0.0,Tienda física,4,Medellín Poblado,Andina,47089.0
142,2025-03-20,103,Mouse,Accesorios,43695.0,28,0.05,Tienda física,4,Cali Norte,Pacífico,1162297.0
143,2025-01-15,102,Mouse,Accesorios,46785.0,3,0.1,Tienda física,4,Medellín Poblado,Andina,126319.0
144,2025-03-31,104,Teclado,Accesorios,88114.0,1,0.2,Tienda física,3,Barranquilla Mall,Caribe,70491.0
145,2025-02-11,102,Mouse,Accesorios,49076.0,2,0.0,Tienda física,5,Medellín Poblado,Andina,98152.0
146,2025-03-18,102,Audífonos,Accesorios,131209.0,1,0.05,Online,4,Medellín Poblado,Andina,124649.0
147,2025-02-20,101,Monitor,Cómputo,636063.0,1,0.0,Tienda física,3,Bogotá Centro,Andina,636063.0
148,2025-03-04,101,Laptop,Cómputo,2998364.0,1,0.05,Online,5,Bogotá Centro,Andina,2848446.0
149,2025-02-21,102,Teclado,Accesorios,94916.0,1,0.0,Tienda física,5,Medellín Poblado,Andina,94916.0
150,2025-01-04,103,Mouse,Accesorios,43290.0,3,0.1,Tienda física,5,Cali Norte,Pacífico,116883.0
151,2025-01-23,101,Teclado,Accesorios,85177.0,2,0.1,Tienda física,4,Bogotá Centro,Andina,153318.0
152,2025-01-15,103,Monitor,Cómputo,644571.0,1,0.1,Tienda física,3,Cali Norte,Pacífico,580113.0
153,2025-02-12,102,Mouse,Accesorios,47532.0,3,0.1,Online,4,Medellín Poblado,Andina,128337.0
154,2025-01-29,102,Teclado,Accesorios,98283.0,1,0.1,Tienda física,3,Medellín Poblado,Andina,88455.0
155,2025-02-05,104,Mouse,Accesorios,47372.0,4,0.1,Tienda física,5,Barranquilla Mall,Caribe,170540.0
156,2025-01-13,101,Laptop,Cómputo,2998916.0,1,0.0,Online,3,Bogotá Centro,Andina,2998916.0
157,2025-02-01,102,Mouse,Accesorios,45928.0,1,0.0,Tienda física,4,Medellín Poblado,Andina,45928.0
158,2025-03-12,104,Mouse,Accesorios,48019.0,1,0.1,Tienda física,4,Barranquilla Mall,Caribe,43217.0
159,2025-02-28,101,Audífonos,Accesorios,126826.0,1,0.0,Tienda física,4,Bogotá Centro,Andina,126826.0
160,2025-03-27,102,Mouse,Accesorios,43893.0,1,0.2,Tienda física,5,Medellín Poblado,Andina,35114.0
161,2025-01-28,102,Mouse,Accesorios,45468.0,2,0.1,Online,4,Medellín Poblado,Andina,81842.0
162,2025-03-07,101,Teclado,Accesorios,95486.0,3,0.05,Online,3,Bogotá Centro,Andina,272134.0
163,2025-02-11,101,Laptop,Cómputo,2545792.0,2,0.1,Online,4,Bogotá Centro,Andina,4582425.0
164,2025-02-14,101,Audífonos,Accesorios,127394.0,1,0.0,Tienda física,4,Bogotá Centro,Andina,127394.0
165,2025-03-03,102,Teclado,Accesorios,84202.0,1,0.0,Tienda física,3,Medellín Poblado,Andina,84202.0
166,2025-02-26,102,Monitor,Cómputo,651909.0,1,0.05,Online,4,Medellín Poblado,Andina,619313.0
167,2025-01-06,104,Mouse,Accesorios,47774.0,1,0.05,Tienda física,4,Barranquilla Mall,Caribe,45386.0
168,2025-01-28,103,Mouse,Accesorios,42784.0,2,0.0,Tienda física,5,Cali Norte,Pacífico,85569.0
169,2025-01-28,101,Mouse,Accesorios,42712.0,1,0.1,Tienda física,5,Bogotá Centro,Andina,38441.0
170,2025-02-13,102,Audífonos,Accesorios,117666.0,1,0.0,Tienda física,5,Medellín Poblado,Andina,117666.0
171,2025-03-25,102,Laptop,Cómputo,3021000.0,1,0.05,Tienda física,5,Medellín Poblado,Andina,2869950.0
172,2025-01-30,101,Mouse,Accesorios,40504.0,4,0.0,Online,3,Bogotá Centro,Andina,162016.0
173,2025-03-03,103,Audífonos,Accesorios,129633.0,1,0.05,Online,3,Cali Norte,Pacífico,123152.0
174,2025-03-16,101,Teclado,Accesorios,83769.0,1,0.1,Tienda física,4,Bogotá Centro,Andina,75392.0
175,2025-03-30,103,Mouse,Accesorios,49411.0,1,0.2,Tienda física,5,Cali Norte,Pacífico,39529.0
176,2025-03-03,102,Laptop,Cómputo,3054714.0,1,0.05,Tienda física,5,Medellín Poblado,Andina,2901979.0
177,2025-01-01,103,Audífonos,Accesorios,119872.0,1,0.2,Online,5,Cali Norte,Pacífico,95898.0
178,2025-01-27,104,Laptop,Cómputo,2807123.0,1,0.05,Tienda física,3,Barranquilla Mall,Caribe,2666767.0
179,2025-03-03,102,Monitor,Cómputo,647601.0,2,0.0,Online,5,Medellín Poblado,Andina,1295203.0
180,2025-03-18,104,Monitor,Cómputo,667608.0,1,0.1,Tienda física,4,Barranquilla Mall,Caribe,600847.0
181,2025-01-03,101,Mouse,Accesorios,41316.0,2,0.0,Tienda física,1,Bogotá Centro,Andina,82633.0
182,2025-03-11,101,Monitor,Cómputo,589240.0,4,0.2,Tienda física,4,Bogotá Centro,Andina,1885569.0
183,2025-03-13,101,Laptop,Cómputo,2552314.0,2,0.0,Online,2,Bogotá Centro,Andina,5104627.0
184,2025-01-27,103,Mouse,Accesorios,44499.0,1,0.1,Tienda física,4,Cali Norte,Pacífico,40049.0
185,2025-01-09,102,Monitor,Cómputo,620821.0,1,0.0,Tienda física,4,Medellín Poblado,Andina,620821.0
186,2025-03-03,101,Audífonos,Accesorios,122929.0,2,0.1,Tienda física,4,Bogotá Centro,Andina,221272.0
187,2025-02-06,101,Teclado,Accesorios,98864.0,2,0.0,Online,4,Bogotá Centro,Andina,197728.0
188,2025-02-20,102,Teclado,Accesorios,87954.0,1,0.2,Online,5,Medellín Poblado,Andina,70363.0
189,2025-02-13,101,Mouse,Accesorios,45665.0,2,0.0,Tienda física,5,Bogotá Centro,Andina,91329.0
190,2025-01-24,104,Laptop,Cómputo,2752738.0,1,0.0,Online,4,Barranquilla Mall,Caribe,2752738.0
191,2025-03-20,102,Laptop,Cómputo,2994472.0,1,0.2,Tienda física,5,Medellín Poblado,Andina,2395578.0
192,2025-02-28,102,Mouse,Accesorios,48620.0,1,0.05,Tienda física,5,Medellín Poblado,Andina,46189.0
193,2025-02-01,102,Mouse,Accesorios,48396.0,1,0.1,Tienda física,3,Medellín Poblado,Andina,43557.0
194,2025-03-29,104,Mouse,Accesorios,49269.0,1,0.0,Tienda física,4,Barranquilla Mall,Caribe,49269.0
195,2025-02-21,102,Mouse,Accesorios,40748.0,2,0.0,Online,4,Medellín Poblado,Andina,81495.0
196,2025-03-03,104,Mouse,Accesorios,48058.0,1,0.1,Online,2,Barranquilla Mall,Caribe,43253.0
197,2025-02-27,102,Teclado,Accesorios,94532.0,1,0.0,Tienda física,5,Medellín Poblado,Andina,94532.0
198,2025-02-21,103,Audífonos,Accesorios,113489.0,1,0.0,Tienda física,5,Cali Norte,Pacífico,113489.0
199,2025-01-12,101,Mouse,Accesorios,49107.0,1,0.0,Online,3,Bogotá Centro,Andina,49107.0
200,2025-02-08,103,Audífonos,Accesorios,111556.0,1,0.0,Online,5,Cali Norte,Pacífico,111556.0
201,2025-01-02,101,Audífonos,Accesorios,124309.0,2,0.2,Tienda física,5,Bogotá Centro,Andina,198895.0
202,2025-01-03,104,Mouse,Accesorios,42524.0,2,0.1,Online,5,Barranquilla Mall,Caribe,76543.0
203,2025-02-25,103,Monitor,Cómputo,641079.0,2,0.1,Tienda física,4,Cali Norte,Pacífico,1153943.0
204,2025-03-22,102,Teclado,Accesorios,93945.0,2,0.0,Tienda física,5,Medellín Poblado,Andina,187890.0
205,2025-02-28,101,Teclado,Accesorios,91140.0,1,0.2,Online,4,Bogotá Centro,Andina,72912.0
206,2025-01-02,101,Mouse,Accesorios,44348.0,1,0.0,Tienda física,4,Bogotá Centro,Andina,44348.0
207,2025-01-02,103,Teclado,Accesorios,86874.0,1,0.0,Tienda física,2,Cali Norte,Pacífico,86874.0
208,2025-02-23,104,Mouse,Accesorios,48057.0,1,0.05,Tienda física,2,Barranquilla Mall,Caribe,45654.0
209,2025-03-28,103,Teclado,Accesorios,83589.0,4,0.2,Online,5,Cali Norte,Pacífico,267484.0
210,2025-01-01,104,Teclado,Accesorios,88742.0,1,0.05,Online,4,Barranquilla Mall,Caribe,84305.0
211,2025-01-19,104,Monitor,Cómputo,702488.0,1,0.0,Tienda física,4,Barranquilla Mall,Caribe,702488.0
212,2025-01-02,101,Teclado,Accesorios,96225.0,3,0.05,Tienda física,3,Bogotá Centro,Andina,274242.0
213,2025-02-22,103,Monitor,Cómputo,637122.0,4,0.0,Tienda física,5,Cali Norte,Pacífico,2548490.0
214,2025-02-13,103,Laptop,Cómputo,2947341.0,2,0.05,Tienda física,1,Cali Norte,Pacífico,5599947.0
215,2025-03-31,104,Mouse,Accesorios,47908.0,1,0.0,Tienda física,5,Barranquilla Mall,Caribe,47908.0
216,2025-02-01,103,Audífonos,Accesorios,129333.0,1,0.05,Online,2,Cali Norte,Pacífico,122867.0
217,2025-03-11,102,Mouse,Accesorios,45401.0,1,0.1,Tienda física,3,Medellín Poblado,Andina,40860.0
218,2025-02-01,102,Laptop,Cómputo,2634498.0,1,0.0,Tienda física,4,Medellín Poblado,Andina,2634498.0
219,2025-03-09,103,Mouse,Accesorios,42798.0,1,0.0,Tienda física,4,Cali Norte,Pacífico,42798.0
220,2025-02-24,103,Mouse,Accesorios,43161.0,1,0.1,Tienda física,4,Cali Norte,Pacífico,38845.0
221,2025-03-16,104,Audífonos,Accesorios,122251.0,4,0.1,Online,4,Barranquilla Mall,Caribe,440105.0
222,2025-02-25,102,Teclado,Accesorios,81591.0,1,0.0,Tienda física,5,Medellín Poblado,Andina,81591.0
223,2025-01-17,102,Audífonos,Accesorios,123265.0,2,0.0,Tienda física,4,Medellín Poblado,Andina,246530.0
224,2025-02-07,101,Teclado,Accesorios,87558.0,2,0.0,Tienda física,1,Bogotá Centro,Andina,175117.0
225,2025-01-24,104,Teclado,Accesorios,86314.0,1,0.2,Tienda física,4,Barranquilla Mall,Caribe,69051.0
226,2025-03-10,101,Mouse,Accesorios,48415.0,2,0.0,Tienda física,5,Bogotá Centro,Andina,96831.0
227,2025-03-11,102,Teclado,Accesorios,89280.0,1,0.0,Tienda física,4,Medellín Poblado,Andina,89280.0
228,2025-03-27,104,Laptop,Cómputo,2573230.0,1,0.0,Tienda física,2,Barranquilla Mall,Caribe,2573230.0
229,2025-01-11,103,Audífonos,Accesorios,127842.0,2,0.2,Tienda física,5,Cali Norte,Pacífico,204547.0
230,2025-01-16,104,Audífonos,Accesorios,109143.0,1,0.05,Tienda física,4,Barranquilla Mall,Caribe,103686.0
231,2025-03-14,103,Mouse,Accesorios,47041.0,4,0.1,Tienda física,4,Cali Norte,Pacífico,169347.0
232,2025-02-28,103,Audífonos,Accesorios,126574.0,1,0.0,Online,2,Cali Norte,Pacífico,126574.0
233,2025-03-11,104,Audífonos,Accesorios,116462.0,2,0.1,Tienda física,3,Barranquilla Mall,Caribe,209632.0
234,2025-03-21,103,Monitor,Cómputo,692222.0,1,0.0,Tienda física,4,Cali Norte,Pacífico,692222.0
235,2025-01-03,101,Laptop,Cómputo,2808769.0,1,0.05,Tienda física,3,Bogotá Centro,Andina,2668331.0
